"Table 1: Journeys with an out of station interchange (OSI), 26th October - 21st December 2020",,,
"Notes: Volumes have been rounded to the nearest 10, therefore journeys volumes below 5 have been suppressed.",,,
             Incomplete journeys are not included,,,
Start_station,End_station,Volume of Journeys,
Clapham Junction,Oxford Circus," 11,870 ",
East Croydon,Oxford Circus," 10,690 ",
Oxford Circus,Clapham Junction," 10,240 ",
Oxford Circus,East Croydon," 10,030 ",
Bromley South,Oxford Circus," 5,590 ",
Oxford Circus,Bromley South," 5,380 ",
Wimbledon,Oxford Circus," 4,700 ",
Earlsfield,Oxford Circus," 4,370 ",
Clapham Junction,London Bridge LU," 4,280 ",
Oxford Circus,Wimbledon," 4,270 ",
London Bridge LU,Clapham Junction," 4,160 ",
Green Park,Clapham Junction," 4,160 ",
Putney,Oxford Circus," 4,080 ",
Clapham Junction,Green Park," 4,050 ",
Canary Wharf LU (E1),Clapham Junction," 3,990 ",
Clapham Junction,Canary Wharf LU (E1)," 3,910 ",
Oxford Circus,Earlsfield," 3,740 ",
Green Park,East Croydon," 3,600 ",
Wandsworth Town,Oxford Circus," 3,530 ",
Clapham Junction,Kings Cross LU (North)," 3,520 ",
East Croydon,Green Park," 3,510 ",
East Croydon,Stratford," 3,410 ",
Oxford Circus,Putney," 3,360 ",
Stratford,East Croydon," 3,350 ",
East Croydon,Warren Street," 2,990 ",
Clapham Junction,Warren Street," 2,960 ",
East Croydon,South Kensington," 2,910 ",
Canary Wharf LU (E1),East Croydon," 2,900 ",
Warren Street,East Croydon," 2,900 ",
Wimbledon,Green Park," 2,830 ",
Oxford Circus,Wandsworth Town," 2,810 ",
Bond Street,East Croydon," 2,720 ",
Surbiton,Oxford Circus," 2,710 ",
Lewisham NR,Bond Street," 2,670 ",
East Croydon,Bond Street," 2,670 ",
Warren Street,Clapham Junction," 2,660 ",
Green Park,Wimbledon," 2,660 ",
South Kensington,East Croydon," 2,650 ",
Clapham Junction,Stratford," 2,620 ",
Stratford,Clapham Junction," 2,610 ",
East Croydon,Canary Wharf LU (E1)," 2,580 ",
Streatham Common,Oxford Circus," 2,580 ",
Bond Street,Clapham Junction," 2,560 ",
Bond Street,Lewisham NR," 2,550 ",
Earlsfield,London Bridge LU," 2,500 ",
Oxford Circus,Norbury," 2,490 ",
Sutton Surrey,Oxford Circus," 2,490 ",
Romford,Euston Square," 2,430 ",
Kings Cross LU (Tube),Clapham Junction," 2,410 ",
Oxford Circus,Surbiton," 2,400 ",
Kings Cross LU (North),Clapham Junction," 2,380 ",
East Croydon,Seven Sisters," 2,370 ",
Oxford Circus,Streatham Common," 2,350 ",
Oxford Circus,Sutton Surrey," 2,350 ",
Norbury,Oxford Circus," 2,330 ",
Euston Square,Romford," 2,330 ",
Putney,London Bridge LU," 2,310 ",
Surbiton,London Bridge LU," 2,280 ",
Richmond,Oxford Circus," 2,280 ",
Earlsfield,Green Park," 2,270 ",
Seven Sisters,East Croydon," 2,240 ",
Watford Junction,Oxford Circus," 2,230 ",
Cheshunt,Oxford Circus," 2,220 ",
Clapham Junction,Finsbury Park LU," 2,210 ",
London Bridge LU,Surbiton," 2,200 ",
Finsbury Park LU,Clapham Junction," 2,180 ",
East Croydon,Euston LU," 2,180 ",
Oxford Circus,Cheshunt," 2,150 ",
Walthamstow Central,East Croydon," 2,130 ",
London Bridge LU,Putney," 2,130 ",
London Bridge LU,Earlsfield," 2,120 ",
Kings Cross LU (Western),Romford," 2,120 ",
Seven Sisters,Clapham Junction," 2,100 ",
East Croydon,Old Street," 2,100 ",
Clapham Junction,Bond Street," 2,090 ",
Old Street,East Croydon," 2,090 ",
East Croydon,Walthamstow Central," 2,060 ",
Oxford Circus,Watford Junction," 2,060 ",
Euston LU,East Croydon," 2,050 ",
Clapham Junction,Euston LU," 2,050 ",
Clapham Junction,Seven Sisters," 2,050 ",
Walthamstow Central,Clapham Junction," 2,040 ",
Putney,Brixton LU," 2,020 ",
Romford,Kings Cross LU (Western)," 2,010 ",
Brixton LU,Putney," 1,990 ",
Tottenham Court Road,Romford," 1,980 ",
Bond Street,Wimbledon," 1,980 ",
Hayes & Harlington,Oxford Circus," 1,970 ",
Leicester Square,Clapham Junction," 1,960 ",
Raynes Park,Oxford Circus," 1,950 ",
London Bridge LU,Wimbledon," 1,950 ",
